,ADBE,AMD,ABNB,GOOGL,AMZN,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ARM,ASML,AZN,TEAM,ADSK,ADP,BKR,BIIB,BKNG,AVGO,CDNS,CDW,CHTR,CTAS,CSCO,CCEP,CTSH,CMCSA,CEG,CPRT,CSGP,COST,CRWD,CSX,DDOG,DXCM,FANG,DLTR,DASH,EA,EXC,FAST,FTNT,GEHC,GILD,GFS,HON,IDXX,ILMN,INTC,INTU,ISRG,KDP,KLAC,KHC,LRCX,LIN,LULU,MAR,MRVL,MELI,META,MCHP,MU,MSFT,MRNA,MDLZ,MDB,MNST,NFLX,NVDA,NXPI,ORLY,ODFL,ON,PCAR,PANW,PAYX,PYPL,PDD,PEP,QCOM,REGN,ROP,ROST,SBUX,SMCI,SNPS,TTWO,TMUS,TSLA,TXN,TTD,VRSK,VRTX,WBD,WDAY,XEL,ZS
ADBE,1.0,0.5921499499497506,0.37407573868782973,0.5061312309628536,0.530952874545382,0.07980589827656169,0.16861803932727049,0.42475452366811595,0.45453932588924545,0.5274734383964051,0.5312627323581329,0.13428922356649542,0.5322807563959071,0.08991154314080593,0.3940454065909016,0.5364824381798732,0.33469486561556444,0.16333744653951393,0.2290646111637507,0.3461625111460961,0.5652124237178707,0.6406879059027905,0.29969507512443055,0.2855034651883151,0.4077168890142493,0.36037333622309337,0.1312518379018897,0.31769854375666406,0.27386800016803386,0.310197625611525,0.5119087713967778,0.37450067007970783,0.40819731704421003,0.46179692576297987,0.2270492881312453,0.3807239725641471,0.17212591212121364,0.16227196459304016,0.10445830595717785,0.3974445132443736,0.35482627873439715,0.18230956589781805,0.40674070574634663,0.283131209841944,0.2469918019569401,0.1709408171921079,0.46518750235203,0.34910340016400326,0.41844177691660905,0.17888995914246783,0.34525469260227865,0.5953780581240367,0.37963298049890437,0.08976740352413345,0.5549762241299296,0.04604225537351289,0.5050174178025185,0.33217932715251147,0.3017199325132286,0.388604514703494,0.5142317288688766,0.3240610085247207,0.47028165333858557,0.43701687193463495,0.40461926482801763,0.5790525599582942,0.17086503581642362,0.2125243191230607,0.42856566404258456,0.28855599240405827,0.3758730763678077,0.5414312176589241,0.45865746731531054,0.16560372557872693,0.36079771633665997,0.34959757173668005,0.2843787337530378,0.38226519501770934,0.3582627259965353,0.36745459832494304,0.3017203022374708,0.15320640868350743,0.5120225037798504,0.11883607837162832,0.45358157509583635,0.32660777932383167,0.3702030075937596,0.23306752076200762,0.6154297970973749,0.41872613973290185,0.10095884451212096,0.3899129782845367,0.47391485454091786,0.3419864553712654,0.2950660100263409,0.16697089951057903,0.2139662747009894,0.5159776986457393,0.1437575539275226,0.42679018384997325
AMD,0.5921499499497506,1.0,0.3413055840491728,0.46517271218277884,0.48914232301597405,-0.034408340386029516,0.012307590837668924,0.5056946142317166,0.42431285876912894,0.402136183968119,0.6584402916114243,0.38194379605230677,0.65117866006446,-0.05405585968622217,0.35016885356195304,0.39830809588231625,0.13762042080135456,0.05579730424099016,0.21602730821479368,0.31078010751321955,0.5190882497520127,0.6319226622684667,0.2546144237981737,0.15181060717825268,0.29475456793685745,0.22754659810786884,0.1003713449661238,0.3850180153532604,0.21828087633217405,0.2640228598288942,0.4851317061325784,0.2967895160616195,0.319604493633196,0.4753810022490206,0.21761305369246708,0.4259920001519767,0.23813263780080302,0.0621669680353916,0.09936346949718027,0.3759325005205561,0.10804445566831969,-0.012967561858978287,0.29070940509780746,0.24243612693765473,0.27658435544882987,-0.011080858754662313,0.5578126917007967,0.1920659349995611,0.2762867994385746,0.14457839348779167,0.43002029753889026,0.4887384179086249,0.321355015969475,-0.0011028578634733896,0.6454136804466674,-0.06620854699582078,0.6509209370534144,0.23266578837805296,0.23991350638192974,0.34191301635444027,0.5992940439088702,0.35828009507146535,0.4379757128901086,0.5162936635784867,0.5088635251481102,0.530360439523132,0.13295397106702164,0.11289472701876707,0.4320050111392848,0.17205576102877515,0.36267368130738403,0.6688933238600081,0.5517186256376345,0.07996217816760774,0.32865736514284555,0.5346366312310102,0.19976030600758632,0.29952106648057636,0.19043003878456463,0.1961615823939497,0.3014715521039658,-0.005685602645689215,0.49585721674391703,0.004221558836135262,0.31126411194203096,0.19571540322604603,0.23385397352292428,0.3844783289785748,0.6542749720428876,0.2935777222223942,0.04007004278436683,0.34643423015519753,0.5155032386521899,0.3235965364803314,0.08679578240850745,0.03498618225784512,0.19210741472317414,0.40888968902605716,0.0033382692614913724,0.44911672031702005
ABNB,0.37407573868782973,0.3413055840491728,1.0,0.3203080235168433,0.36014912915217095,0.06503836260326784,0.010722331321609829,0.48106131092465404,0.31466625119969277,0.3692851663995617,0.3353706144885521,0.4657890529098974,0.3648102841678299,0.004642817795920235,0.3666809968745149,0.4140031734855403,0.22963628541977082,0.2535323215019605,0.1558455222379136,0.4938243228723837,0.32012865474739327,0.35818856078317474,0.28895554377117916,0.2818274665141561,0.23003924411730173,0.26691291815974194,0.23439486378653027,0.3406274058089278,0.3246422681024416,0.14121482036518523,0.38904852689438696,0.3532840444972658,0.32972418110781687,0.34265131228532125,0.18859068491001282,0.3349985730296385,0.20585592380118675,0.15688974973451444,0.23106553230488472,0.53478302090966,0.24866689591563348,0.11673007007779747,0.28500144541363365,0.16353456365146143,0.3019278581384645,0.10061812390354494,0.42363059604967424,0.28892263699878673,0.38803671366658765,0.237847513423458,0.2853788287181369,0.3966992539382496,0.27413683864853633,0.12057753391073812,0.3081330050364429,0.06789131425239886,0.3237825444381383,0.16689212429999345,0.35361307639757444,0.4907080871234885,0.36997346794193703,0.4365121405433565,0.33496487415298726,0.42910055671965847,0.3277801499870081,0.2840114931231404,0.23582298995991435,0.13325390146182123,0.4055571611961401,0.24083780752068437,0.27112205391203814,0.2950864677170786,0.44371571649676056,0.008365042255845187,0.331435936218099,0.3802784791614925,0.31022080695140336,0.2746858649755743,0.24998834371516895,0.3991019982683087,0.28450072410561816,0.07309345364888413,0.39810270593191244,-0.012777556010500648,0.2336308742402795,0.2738892713723242,0.25162987913363843,0.243267822063777,0.3322169286118371,0.3605071108482183,0.04563490701757026,0.4309962226079518,0.3857212015881548,0.5517650624156808,0.09109005944986046,0.07024876149035161,0.3975469756939593,0.31836639903405717,0.03741286292958019,0.3760383478269937
GOOGL,0.5061312309628536,0.46517271218277884,0.3203080235168433,1.0,0.6008578463210542,0.0722349839727794,0.1565928557154542,0.31577245292210354,0.35080322011483017,0.5282734751348234,0.40395970784727125,0.3436789091910238,0.42754716472840093,0.037883901582800375,0.39352218119587895,0.4268911242198447,0.4247895198586864,0.06745985538788804,0.16390960049968967,0.32768734986469683,0.3026854564444283,0.4053576288534676,0.2136544257113085,0.20981863163175546,0.32089001250387383,0.2593782354673681,0.0871708276866189,0.26906231509965767,0.32776135212422863,0.22534278159972107,0.374169852879034,0.29475661074039805,0.3241970544358835,0.407028765482672,0.21012613246272271,0.34297088855901425,0.1619576483214973,0.003613478609262876,0.07284969247068519,0.4000669782625144,0.2449652181451728,0.06493756580950444,0.32732884506013477,0.17420662829656164,0.22715889504205,0.002785678143288303,0.3036154158784977,0.2380841641362736,0.40290921502860516,0.28071450460923936,0.30322120134555564,0.5423934767683566,0.36902984191677823,0.031296891355418396,0.39490006716301035,-0.011999686566828878,0.3931720417560456,0.2503084448738802,0.20313550400176816,0.23503534835690465,0.34059834844610415,0.38192251964325785,0.6082640768763986,0.3104522632780417,0.30219787178460805,0.5098874296246687,0.18440773588893938,0.10622144842255195,0.39726510972011236,0.2170916065769809,0.3211011486743936,0.4059323768725274,0.3101752531016118,-0.03582716016244871,0.28272148860851276,0.29041538459889965,0.09937983477464114,0.2706462240581957,0.3387347399798815,0.36091240692187077,0.25052959782545403,0.08878964036325332,0.31479039046865326,0.10736283357151685,0.3010618984678,0.1367521524195601,0.17623781214748624,0.19939168301061386,0.40067677018989634,0.4046295843215701,0.04792678019954054,0.33772941433064263,0.30953686991006263,0.4337865984261666,0.264940572599477,0.16532022490412654,0.12335064110516297,0.37141989100284667,0.09191939138682415,0.3958751315316071
AMZN,0.530952874545382,0.48914232301597405,0.36014912915217095,0.6008578463210542,1.0,0.10258729291165893,0.15163519062052136,0.33615801742686124,0.3931383761468254,0.44167743683114624,0.4178046340121378,0.34298481480700305,0.45432008738016433,0.05759649204706235,0.5795647037720895,0.42783903416663954,0.26102944830826325,0.11046341408480596,0.15204881379651192,0.4071110479292807,0.3610898809508986,0.44007255631219633,0.1908026114529053,0.16356366561966595,0.36087000285704696,0.2656256167242998,0.20487036702155256,0.3162174209715498,0.31622165910424543,0.28548058091216333,0.39693991779244714,0.44367510485170925,0.39922382141937207,0.43392890500134257,0.17828533953814957,0.493136495884733,0.22603254713197649,-0.033718264143245816,0.23127581684256587,0.44653712334550305,0.2121764609369636,0.07119221283583482,0.3614250361518768,0.08303551908656837,0.26880551496117977,0.13573142491882206,0.3696490572042684,0.28838529133298496,0.38341586900076485,0.302533207877688,0.38380807057729344,0.5345531287676066,0.330642382985315,0.05775835887316555,0.43938827026048893,0.04525511036071245,0.4176285561756231,0.25811941329595944,0.2925847646818695,0.2880401349694971,0.43246153738645315,0.4295517963502737,0.5797388326414739,0.28877351505589005,0.33362859506122144,0.5759280899191895,0.12963310608998158,0.13425397612334647,0.5209839185189952,0.20694556195565128,0.3720542428363586,0.3804115643540155,0.34859737563694637,0.08184324623949524,0.2813909607371619,0.2874306605877591,0.1261937413304633,0.3144700629860259,0.27513384111410083,0.3154568414032196,0.24744201830392426,0.12210532598033991,0.39425970477094885,0.0263973899041724,0.3162452760369206,0.23850707746405495,0.24492008239874183,0.23129580428252539,0.43455268919702367,0.33693197979526296,0.1284046213673092,0.372994156615673,0.3633028891802325,0.46505999781185714,0.25859631616690515,0.1279753407127023,0.27692761342810446,0.4591077900170149,0.09962198039435045,0.4234269400147761
AEP,0.07980589827656169,-0.034408340386029516,0.06503836260326784,0.0722349839727794,0.10258729291165893,1.0,0.3741880169819552,0.1458157829507568,0.15681698292453833,0.17574626585296296,0.017293434456769098,0.21362204287358988,0.10920386861700891,0.2271435597007763,0.12930058636438083,0.18404019410101274,0.30088188009160627,0.11844224140395324,0.3137672142179502,0.03911484035382228,0.12439989239807403,0.025437702304929494,0.1383394331067907,0.2829822842769312,0.36286341431105407,0.17150496512654984,0.3266290307906944,0.1729409943588495,0.24376569494771524,0.3054307206503355,0.17230598974624386,0.2920564117736854,0.28809408414540416,0.028075214261120196,0.3468372667786316,0.02948532578527759,0.12706323175970222,0.09983807546242404,0.2699107240960823,0.15370742687268305,0.23078387500974912,0.733849759836863,0.23039269285151187,0.09633646223642668,0.1562192981689373,0.3470675774225387,0.08552204088771681,0.45099740640805114,0.2610095390809306,0.4018175229450429,0.16398339421630612,0.2004593970942044,0.2494368860665507,0.4396535117048106,0.01708501351798292,0.5449108663868654,0.002313168777780273,0.18780592082489725,0.16700644954890226,0.08209746845375474,-0.0008689999357083309,0.0019952346950787613,0.039618169442139604,0.13188150373092364,-0.01350375282088937,0.08420194663447382,0.17652639782828708,0.4780649219353355,0.04886193920702673,0.3358883445778155,0.01647677655378101,-0.09158194422502557,0.09125003035682955,0.22101859957878567,0.18224233511550103,0.06682592071523463,0.2276418738200053,0.032264961760889534,0.31789936854510104,0.30939267808021487,0.049562673124177684,0.5599815719486774,0.14020289610588754,0.11309275099147109,0.36388555086962127,0.1764069362046604,0.3548560400405667,-0.12517820961029277,-0.006920676196202497,0.18645606516271182,0.3385670273220263,0.07935337110433681,0.24181513647639963,0.11469191305208606,0.3147442906319519,0.2833313731806049,0.2820937195194566,0.16032053332298998,0.862832305087244,0.017123720441034163
AMGN,0.16861803932727049,0.012307590837668924,0.010722331321609829,0.1565928557154542,0.15163519062052136,0.3741880169819552,1.0,0.11427281584383603,0.15956240417012904,0.08920572311880728,0.1070503094321101,0.1345142824324152,0.14788597455152663,0.2684187238528268,0.1472083517292938,0.17993514179531342,0.2699694176060965,0.05407103860072591,0.3770316611422637,0.2709646453966098,0.15262516408167792,0.07860639435433117,0.12871050139764467,0.25282627218607023,0.2179857627970731,0.21477762631685246,0.1916078991813906,0.1514433477863583,0.24852834953132638,0.22229752776298695,0.0870543651562461,0.15485509174893855,0.2869956677489959,0.03652465959219801,0.19295121328450118,-0.04482810956339615,-0.01033254837137437,0.1184368815499765,0.20207144809009972,0.04413178748211357,0.2697942221383454,0.3429980139424332,0.10528890279395517,-0.07476171208065364,0.09444778737775812,0.5328912019153793,0.07782764187108021,0.2713648928756636,0.2330470462421255,0.241973167426045,0.14288765447482887,0.19238019452076463,0.14802134894168406,0.16680578557104483,0.10588672879910659,0.30419472578533086,0.10037397205857858,0.11797943414795255,0.22278871252932658,0.12580460034970964,0.03039132370284999,0.03616637030534031,0.11292231005993576,0.08813579125861658,0.06371624276912001,0.0819010772398196,0.16649128011545308,0.23586897719864314,0.07519571196204962,0.16457368286007953,0.12760695404958666,-0.010981826590121875,0.12313745775455733,0.1922746866426998,0.11795135951276887,0.05116582430813031,0.21102606039931657,-0.021138876801850292,0.21482789590800355,0.20700915489023702,0.035437089139034435,0.2719775639732455,0.11266594005826407,0.3651754679273887,0.26924263841053575,0.24779972021270996,0.3233371156209321,-0.08164283566710002,0.06297473431106979,0.06450467758716051,0.2633665253765516,0.105554549019078,0.2030306079287278,0.016586885957510105,0.22232056506075248,0.3202524940330362,0.16604481989018005,0.09235874843996442,0.3918823294001431,0.06987029022090525
ADI,0.42475452366811595,0.5056946142317166,0.48106131092465404,0.31577245292210354,0.33615801742686124,0.1458157829507568,0.11427281584383603,1.0,0.43971709671010234,0.447298547120239,0.6752798457244625,0.5371297196074241,0.6441255129547852,0.08472767238270099,0.3592955039048262,0.5026645362159358,0.3481126091369731,0.22428547087206893,0.2337016316107559,0.385642114659235,0.538456976454687,0.4820753856359207,0.447152699121428,0.30903942437500237,0.3712984932535851,0.38343228981644,0.22788268014337978,0.4102369749394233,0.3395270455146456,0.29470207219695965,0.45500945015805927,0.39733975799795024,0.3680428454109132,0.41901285730407517,0.4017559568599777,0.356354661588881,0.2413188205947572,0.16442788992783247,0.2666321926077473,0.46659559411224466,0.2757752958084702,0.14523206724114654,0.368116151989352,0.30753382347857394,0.35684334662709377,0.11517227929158926,0.6642093780783636,0.3757548399553433,0.4667329523766733,0.26014453337496396,0.5214113806976057,0.534280861796024,0.36433650948910407,0.18088134525907593,0.643346096292413,0.08465530457056147,0.6595066937741445,0.34297580443497977,0.3287890382557023,0.4232863876417285,0.5427129989185044,0.3370921143914686,0.30936017993847487,0.8463369319666545,0.4473507631668209,0.29579551884040356,0.3107337861500373,0.14979267413513034,0.33500155223561495,0.31185161288224716,0.2863638278840339,0.38884224019172564,0.8244802072433383,0.08055503104967802,0.3292933009639896,0.7022619060913196,0.42362675242221043,0.19878154977323834,0.3435239364058925,0.3913290677325037,0.3230928612884932,0.07760567258761562,0.614913810605259,0.14762649720427573,0.3496312603529387,0.31843292039113963,0.3823883913000053,0.2811926271365049,0.4653507931451544,0.40384391098751965,0.07826626235889916,0.4297154681453427,0.7674767908498048,0.48771983177548867,0.16587837374518172,0.09876376453300567,0.34743447663151755,0.39102052536681325,0.10955243009814976,0.41556446531510915
ANSS,0.45453932588924545,0.42431285876912894,0.31466625119969277,0.35080322011483017,0.3931383761468254,0.15681698292453833,0.15956240417012904,0.43971709671010234,1.0,0.33170403246581875,0.4762132964474649,0.1958654860331495,0.4622253609081642,0.0955207639138403,0.3639553862771572,0.4951398001861612,0.2799567283623677,0.14836592319902683,0.2841095063067264,0.30019728092507175,0.4175609064144455,0.5162205742708965,0.268313420117751,0.23848298944010057,0.42462971542115147,0.261130994433664,0.22835990020653266,0.2771704621300112,0.23976627839100054,0.10742321440004585,0.4345223132955851,0.38932235681298,0.3137823282491751,0.3840725374649703,0.2794277851151957,0.31938846600502924,0.2043728003572178,0.062001031048358614,0.1622464157023655,0.28270062026231685,0.22751043430419132,0.18252890442698272,0.34892613142394147,0.21310595351349104,0.34159056831360607,0.08934893704449773,0.45157214367199444,0.34031964346911586,0.4152996415064697,0.254623662807695,0.34784434517871154,0.4713847321968856,0.3489873844105196,0.16028278049981384,0.44909441731674105,0.10016754236871836,0.4074950521591322,0.3383900498884693,0.20396887339168113,0.36537694904908435,0.4378797666409973,0.23501838096796038,0.35294904104446745,0.45377244395091426,0.33350977470199106,0.4166487263690381,0.23364386374672488,0.16549923726243873,0.33952058944680075,0.3088844258223151,0.25258863425081113,0.4632939005841433,0.4316635235551275,0.1301822630031402,0.33809199925729383,0.3514009360579269,0.27126296419089097,0.25887853656331866,0.2892471121942305,0.33743275712003323,0.23972248733299173,0.15173204984716843,0.4651555636196146,0.051857135927857595,0.43490806034566254,0.23789217994275902,0.21785727819560413,0.23147461516819262,0.38753940008631693,0.349482835639974,0.07423843553461518,0.28817485552305766,0.47509425814300105,0.28063723046048034,0.26933804126008754,0.11852318829374554,0.17244861702468614,0.4587005305592421,0.19475071000211422,0.3860216015895305
AAPL,0.5274734383964051,0.402136183968119,0.3692851663995617,0.5282734751348234,0.44167743683114624,0.17574626585296296,0.08920572311880728,0.447298547120239,0.33170403246581875,1.0,0.4511350162746513,0.3241350629005524,0.4798319061910501,0.09291583862709131,0.22882111892418505,0.45821649584611535,0.33440693576933783,0.18054834060385033,0.2392710308795435,0.2905735705169223,0.43454944959324004,0.4292932640402528,0.30370316388835744,0.26124237005211515,0.45665771521918674,0.3282912256380609,0.19914678729671195,0.2377052435460765,0.3567078660331222,0.23334084547731204,0.4514722320274615,0.34114646106400565,0.39181916990253035,0.42617672332070283,0.340965701218958,0.30114163011252043,0.14085729023806065,0.12437442805503042,0.13695790743987757,0.35562626623675586,0.31102919618497576,0.17547373180260303,0.41428475940605447,0.42849188399893035,0.28069580510949516,0.16113569462866525,0.3957282306259596,0.34608224681607136,0.4985795532906283,0.28204224330374494,0.35211678384688666,0.45533288096400726,0.42333621602264987,0.08199861399430122,0.4806776254806744,0.12806322600083783,0.4234073688998671,0.2818122700463815,0.29951780000619416,0.27710138445114985,0.3734836681790363,0.3423787763092159,0.5404233418991425,0.4596745837568266,0.337207724350942,0.5479879357128249,0.19166292815520458,0.1872356760526769,0.35990096054193216,0.3007468368185193,0.42059162844896053,0.444878974102254,0.4146558501572871,0.12920233293559444,0.3314300039611872,0.3628793323016725,0.28141144877024626,0.378020603964975,0.3595972034219053,0.4223621094505721,0.24033099887092785,0.1657239630478375,0.4640253417944555,0.18648059281691926,0.4351880522841028,0.29392960230694665,0.3245106841723658,0.23235231722844957,0.45220979682335893,0.4243268110232257,0.14985677191362115,0.4442786382820776,0.4888303538995126,0.35978461449520444,0.30062331390771857,0.265373638458913,0.21171856152130766,0.3709882959652308,0.17931807097857266,0.3406081264103687
